Date,Timestamp,Machine_ID,Operation_Mode,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status,Network_Stability_Index,Latency_Sensitivity_Score
01-01-2025,00:46:00,14,Active,51.363,1.865,8.175,15.105,4.046,6.714,317.721,0.44,8.945,Low,44.434999999999995,19.72809686432785
01-01-2025,00:47:00,50,Maintenance,66.585,0.359,9.697,9.011,1.83,2.447,491.132,0.982,8.824,Low,72.689,49.05923484167416
01-01-2025,00:48:00,9,Maintenance,48.295,2.615,3.339,26.929,2.843,7.183,79.607,0.505,4.044,Low,44.641000000000005,2.8503347774714456
01-01-2025,00:49:00,26,Active,82.936,0.631,3.012,46.629,0.478,7.127,221.685,0.661,5.189,Low,48.591,4.6544122278443805
01-01-2025,00:50:00,2,Active,59.492,2.341,5.607,6.846,2.922,9.315,406.847,0.633,4.729,Medium,63.934,51.85406576599541
01-01-2025,00:51:00,20,Active,74.868,3.998,4.374,40.138,3.457,2.321,147.797,0.078,3.273,Low,25.292,3.5927123340949976
01-01-2025,00:52:00,28,Active,69.617,4.211,2.062,34.46,2.455,2.037,210.398,0.105,7.5,Low,40.989999999999995,5.933389734912577
01-01-2025,00:53:00,47,Idle,72.068,4.982,6.865,8.664,2.535,9.722,281.186,0.015,0.17,Medium,65.98599999999999,29.09623344370861
01-01-2025,00:54:00,7,Active,60.998,3.085,9.558,31.591,2.703,9.723,105.697,0.161,12.002,Low,41.379000000000005,3.243134607713786
01-01-2025,00:55:00,44,Active,89.917,2.262,5.85,18.075,2.091,4.733,457.031,0.647,5.155,Low,61.015,23.959685452162518
01-01-2025,00:56:00,8,Idle,36.069,2.397,2.982,41.009,4.09,9.319,197.316,0.446,10.683,Low,18.091000000000008,4.696993501392559
01-01-2025,00:57:00,47,Active,60.486,3.072,6.726,3.569,2.349,3.178,429.971,0.706,2.235,Medium,72.941,94.10615014226308
01-01-2025,00:58:00,35,Active,51.958,4.478,7.218,5.422,2.506,7.021,418.69,0.795,8.159,Low,69.518,65.19620056057303
01-01-2025,00:59:00,14,Idle,51.569,3.843,1.757,46.7,2.045,1.289,151.261,0.495,5.095,Low,32.849999999999994,3.1710901467505237
01-01-2025,01:00:00,17,Idle,75.257,2.381,1.958,13.095,3.588,3.895,157.344,0.907,5.219,Low,51.025,11.163107484923732
01-01-2025,01:01:00,36,Idle,30.443,4.481,6.078,30.804,1.916,0.589,461.966,0.2,9.299,Low,50.036,14.525405609357314
01-01-2025,01:02:00,50,Active,53.1,3.252,8.699,14.441,3.977,1.388,353.671,0.405,11.126,Low,45.788999999999994,22.90466938669775
01-01-2025,01:03:00,40,Active,54.63,1.378,7.023,10.712,4.986,8.51,449.303,0.384,9.126,Low,39.428,38.36261953551912
01-01-2025,01:04:00,4,Active,60.381,2.059,5.561,40.676,4.184,6.664,99.78,0.084,11.091,Low,17.48400000000001,2.3941837028505613
01-01-2025,01:05:00,2,Active,53.684,0.862,5.394,22.117,1.328,0.802,299.306,0.574,5.201,Low,64.60300000000001,12.947441276982307
01-01-2025,01:06:00,6,Idle,47.623,3.148,2.285,28.017,1.921,8.191,228.254,0.201,12.701,Low,52.773,7.866216355929283
01-01-2025,01:07:00,42,Active,63.021,2.312,6.197,36.796,3.36,5.109,393.672,0.756,5.719,Low,29.604000000000013,10.41570536564716
01-01-2025,01:08:00,4,Active,84.463,2.097,7.473,35.81,0.41,1.617,395.769,0.053,0.14,Medium,60.089999999999996,10.751670741646292
01-01-2025,01:09:00,29,Active,49.635,4.349,8.487,15.855,4.292,8.584,288.525,0.991,13.788,Low,41.22500000000001,17.11806585582913
01-01-2025,01:10:00,18,Active,36.338,0.131,8.032,43.324,0.84,8.077,435.828,0.639,12.943,Low,48.276,9.832776825196282
01-01-2025,01:11:00,26,Active,60.002,1.226,9.694,38.914,0.931,4.995,192.225,0.35,4.924,Low,51.775999999999996,4.815979355614571
01-01-2025,01:12:00,44,Idle,80.583,4.252,6.123,17.433,4.502,2.268,199.54,0.885,10.732,Low,37.547000000000004,10.825150545217815
01-01-2025,01:13:00,34,Idle,38.25,1.909,4.373,49.889,1.429,6.025,279.52,0.815,13.967,Low,35.821,5.492739098822928
01-01-2025,01:14:00,10,Active,80.93,1.364,8.404,44.382,1.811,3.953,318.549,0.899,12.612,Low,37.508,7.019280772112291
01-01-2025,01:15:00,36,Active,72.766,3.811,5.554,27.693,0.332,0.368,138.442,0.757,6.587,Low,68.987,4.8249398808071655
01-01-2025,01:16:00,14,Idle,63.539,1.903,5.702,22.796,4.308,2.199,482.367,0.54,4.604,Medium,34.123999999999995,20.27092788703984
01-01-2025,01:17:00,31,Active,56.85,3.601,4.798,41.124,1.643,8.422,433.243,0.619,6.902,Low,42.446,10.284944449719873
01-01-2025,01:18:00,48,Maintenance,55.168,4.373,7.7,47.083,0.715,2.51,348.469,0.675,8.02,Low,45.767,7.24723914897157
01-01-2025,01:19:00,15,Active,73.549,4.901,4.279,31.237,2.652,5.91,362.265,0.289,1.266,Medium,42.243,11.23755312218879
01-01-2025,01:20:00,8,Idle,58.467,4.813,5.404,36.121,4.088,7.808,189.036,0.333,8.893,Low,22.998999999999995,5.092427466932464
01-01-2025,01:21:00,14,Active,69.243,2.249,7.073,5.78,4.861,7.678,227.551,0.57,5.193,Low,45.61,33.56209439528023
01-01-2025,01:22:00,23,Active,32.22,3.005,7.097,34.007,0.044,9.034,294.62,0.95,7.931,Low,65.553,8.416031079498387
01-01-2025,01:23:00,40,Active,86.423,1.204,8.155,23.185,3.021,1.446,221.232,0.936,8.758,Low,46.605000000000004,9.147488112466405
01-01-2025,01:24:00,21,Active,57.097,0.679,6.406,42.548,4.863,3.482,357.861,0.427,9.812,Low,8.821999999999989,8.217621934417194
01-01-2025,01:25:00,16,Idle,84.838,3.766,7.845,44.622,1.127,4.516,408.657,0.612,3.385,Medium,44.108000000000004,8.957454736749813
01-01-2025,01:26:00,45,Active,67.818,3.587,2.594,17.415,2.016,7.985,99.408,0.415,4.673,Low,62.425,5.398207982622862
01-01-2025,01:27:00,18,Active,69.664,2.293,4.128,23.621,0.454,1.092,440.704,0.454,3.831,Medium,71.839,17.899516672759027
01-01-2025,01:28:00,47,Active,41.769,4.445,3.878,11.187,2.143,7.54,298.369,0.376,8.734,Low,67.38300000000001,24.48256338721589
01-01-2025,01:29:00,24,Idle,34.259,0.921,3.233,39.23,0.839,1.085,81.912,0.959,9.44,Low,52.38,2.036092468307234
01-01-2025,01:30:00,26,Active,43.031,3.666,9.257,29.871,2.148,5.858,84.458,0.225,7.282,Low,48.649,2.7358362216967382
01-01-2025,01:31:00,25,Idle,62.104,3.253,6.008,28.389,3.006,7.326,61.523,0.875,3.034,Low,41.551,2.0934022933750724
01-01-2025,01:32:00,45,Active,32.142,2.394,2.401,15.246,4.042,6.921,394.91,0.339,12.241,Low,44.333999999999996,24.308137387664654
01-01-2025,01:33:00,41,Active,82.68,4.745,2.872,29.523,2.199,0.728,369.831,0.287,0.762,Medium,48.487,12.116469547554304
01-01-2025,01:34:00,29,Maintenance,55.432,3.866,8.158,23.749,1.592,1.634,428.645,0.519,12.795,Low,60.331,17.319689684431694
01-01-2025,01:35:00,15,Active,59.077,4.261,2.337,33.77,2.243,1.868,473.97,0.228,4.442,Medium,43.8,13.631578947368421
01-01-2025,01:36:00,45,Active,38.628,3.453,4.103,40.415,3.808,3.134,486.237,0.606,14.472,Low,21.504999999999995,11.740601231437886
01-01-2025,01:37:00,1,Idle,81.532,3.905,6.072,17.919,0.541,3.811,363.795,0.33,10.783,Low,76.67099999999999,19.22908187536339
01-01-2025,01:38:00,25,Active,69.582,4.721,7.794,3.281,4.637,9.599,253.663,0.372,12.224,Low,50.349000000000004,59.25321186638635
01-01-2025,01:39:00,7,Active,35.322,3.06,4.164,2.474,4.516,5.931,486.574,0.079,6.587,Low,52.366,140.0616004605642
01-01-2025,01:40:00,9,Idle,41.122,2.272,3.607,39.706,4.684,9.104,419.198,0.888,5.915,Low,13.453999999999994,10.298186999459539
01-01-2025,01:41:00,24,Active,32.984,2.812,8.756,48.92,0.657,2.965,256.08,0.46,0.86,Medium,44.51,5.129807692307692
01-01-2025,01:42:00,1,Active,66.906,2.37,6.677,24.823,1.713,5.454,191.224,0.394,0.431,Low,58.047,7.405181427409673
01-01-2025,01:43:00,44,Idle,37.431,4.308,5.105,12.617,2.755,5.561,464.717,0.271,14.551,Low,59.833,34.12770801204377
01-01-2025,01:44:00,8,Active,59.075,4.96,8.176,27.16,0.282,7.711,337.657,0.479,11.958,Low,70.02,11.990660511363636
01-01-2025,01:45:00,24,Idle,72.458,1.323,1.774,13.446,1.252,2.48,491.367,0.653,11.069,Low,74.03399999999999,34.0140523328257
01-01-2025,01:46:00,11,Idle,61.604,1.523,7.936,4.753,0.951,9.534,281.053,0.067,9.086,Low,85.737,48.85329393359986
01-01-2025,01:47:00,17,Idle,58.201,4.933,9.462,30.125,1.869,9.979,119.421,0.17,11.711,Low,51.185,3.8368192771084337
01-01-2025,01:48:00,8,Active,35.844,2.478,8.093,47.524,0.059,1.535,326.834,0.383,3.144,Medium,51.885999999999996,6.735512323798533
01-01-2025,01:49:00,35,Active,60.941,1.053,8.939,26.328,4.909,6.827,108.285,0.336,13.093,Low,24.581999999999994,3.9624194964871196
01-01-2025,01:50:00,35,Idle,34.315,3.289,2.468,37.301,0.646,4.047,182.501,0.101,13.128,Low,56.239,4.764914754183963
01-01-2025,01:51:00,33,Active,30.833,1.046,1.924,5.252,1.532,2.088,136.213,0.405,0.868,Low,79.428,21.78710812539987
01-01-2025,01:52:00,5,Idle,80.998,3.453,5.476,42.739,3.442,0.616,161.663,0.186,12.396,Low,22.841000000000008,3.6960835867303783
01-01-2025,01:53:00,42,Maintenance,85.79,3.869,5.426,23.11,0.04,1.168,333.719,0.481,2.654,Medium,76.49000000000001,13.841518042306097
01-01-2025,01:54:00,39,Active,30.135,3.21,3.356,41.532,0.125,2.855,83.831,0.161,0.913,Low,57.218,1.9710100630113798
01-01-2025,01:55:00,41,Active,68.609,1.318,1.993,28.128,3.064,0.67,237.429,0.758,10.588,Low,41.232,8.151229057951113
01-01-2025,01:56:00,28,Active,43.907,0.138,3.967,28.871,4.121,4.276,471.058,0.292,5.076,Low,29.91900000000001,15.769743229218975
01-01-2025,01:57:00,7,Active,57.861,1.351,9.855,2.671,1.001,1.526,138.691,0.946,12.784,Low,87.319,37.780168891310275
01-01-2025,01:58:00,9,Idle,60.602,2.378,3.606,43.774,4.04,4.59,73.574,0.685,3.836,Low,15.825999999999993,1.643230446241122
01-01-2025,01:59:00,8,Active,60.217,0.524,7.282,48.521,3.082,8.253,344.12,0.934,0.044,Medium,20.659000000000006,6.9489711435552595
01-01-2025,02:00:00,12,Active,68.442,4.385,5.706,26.283,3.648,9.988,413.401,0.833,0.493,High,37.236999999999995,15.15232928930103
01-01-2025,02:01:00,34,Active,42.216,0.846,2.809,46.821,0.472,6.675,289.416,0.29,10.536,Low,48.459,6.052069174630392
01-01-2025,02:02:00,33,Idle,75.074,3.145,5.082,27.698,1.912,2.292,442.329,0.292,7.584,Low,53.182,15.413234371733221
01-01-2025,02:03:00,48,Active,43.3,1.669,3.428,34.699,0.103,6.954,61.328,0.442,5.842,Low,64.271,1.7179192694473235
01-01-2025,02:04:00,23,Active,83.683,2.981,4.967,23.29,1.728,1.709,322.308,0.819,11.795,Low,59.43,13.269164265129683
01-01-2025,02:05:00,24,Active,34.544,1.008,7.379,7.696,0.411,7.168,325.664,0.56,0.477,Medium,88.194,37.449862005519776
01-01-2025,02:06:00,37,Active,34.462,2.121,6.332,34.503,0.446,6.093,64.065,0.399,2.046,Low,61.037,1.8044953947553728
01-01-2025,02:07:00,35,Active,35.28,3.655,3.031,41.43,0.487,2.203,309.536,0.274,12.414,Low,53.7,7.295215649304737
01-01-2025,02:08:00,44,Idle,69.928,0.503,5.701,25.077,1.715,7.557,465.144,0.865,13.746,Low,57.772999999999996,17.83732791348698
01-01-2025,02:09:00,40,Idle,36.289,2.91,6.807,27.987,0.445,4.401,191.844,0.064,2.708,Low,67.56299999999999,6.618277158726325
01-01-2025,02:10:00,22,Active,41.449,3.585,8.415,49.525,2.923,8.171,374.639,0.737,0.702,Medium,21.245000000000005,7.414923305294409
01-01-2025,02:11:00,27,Idle,49.597,2.272,8.661,19.587,1.265,0.971,96.108,0.021,8.625,Low,67.763,4.668382960120464
01-01-2025,02:12:00,35,Active,69.646,3.318,9.379,12.938,3.256,8.789,477.31,0.519,3.251,Medium,54.501999999999995,34.245228870713156
01-01-2025,02:13:00,1,Maintenance,67.27,4.467,9.497,45.694,3.791,1.197,294.367,0.493,0.316,Medium,16.396,6.304171842206707
01-01-2025,02:14:00,35,Active,82.744,2.604,2.385,44.584,4.876,5.423,152.151,0.744,11.184,Low,6.655999999999992,3.3378159003159005
01-01-2025,02:15:00,37,Active,38.506,0.526,5.966,39.97,0.416,6.895,455.63,0.548,10.738,Low,55.870000000000005,11.12106419331218
01-01-2025,02:16:00,47,Active,39.964,3.582,4.944,28.871,2.464,2.958,415.462,0.39,6.285,Low,46.489000000000004,13.908540055572294
01-01-2025,02:17:00,14,Maintenance,44.131,1.851,5.531,4.511,3.307,7.621,95.252,0.89,14.634,Low,62.419,17.28397749954636
01-01-2025,02:18:00,3,Active,48.23,1.86,9.381,35.245,4.119,6.046,425.671,0.297,3.947,Medium,23.564999999999998,11.744268174920679
01-01-2025,02:19:00,1,Maintenance,72.619,4.942,2.286,18.172,0.699,8.916,315.56,0.008,13.659,Low,74.838,16.459419987481745
01-01-2025,02:20:00,5,Maintenance,61.038,3.361,9.626,47.463,2.62,4.859,370.825,0.241,12.617,Low,26.33699999999999,7.651713678476363
01-01-2025,02:21:00,26,Active,62.1,1.085,9.056,1.017,4.788,2.709,124.978,0.855,14.418,Low,51.102999999999994,61.96232027764006
01-01-2025,02:22:00,14,Active,47.325,4.446,4.119,27.833,0.755,3.754,186.144,0.845,14.02,Low,64.617,6.455935906773489
01-01-2025,02:23:00,39,Active,74.486,1.244,8.95,49.961,1.32,3.615,385.23,0.039,10.117,Low,36.839,7.559310060634603
01-01-2025,02:24:00,27,Active,57.753,4.658,4.782,43.605,4.123,0.646,211.412,0.771,8.287,Low,15.165000000000006,4.739648021522251
01-01-2025,02:25:00,9,Maintenance,58.145,0.829,4.191,11.783,0.088,6.101,301.053,0.255,5.445,Low,87.337,23.551044355785027
01-01-2025,02:26:00,15,Idle,44.394,2.046,9.007,48.411,4.188,3.171,271.634,0.037,8.517,Low,9.709000000000003,5.497439841330878
01-01-2025,02:27:00,15,Active,47.339,2.985,4.529,2.011,2.564,0.733,243.288,0.227,0.24,Medium,72.349,80.79973430753903
01-01-2025,02:28:00,26,Idle,61.969,0.53,3.649,49.302,4.363,9.028,400.543,0.978,5.383,Low,7.067999999999998,7.962764900003976
01-01-2025,02:29:00,42,Idle,33.689,2.003,4.606,12.842,0.507,6.777,412.98,0.133,12.196,Low,82.088,29.835283918508885
01-01-2025,02:30:00,13,Maintenance,86.4,1.755,4.677,44.929,2.382,6.133,290.688,0.017,6.568,Low,31.25099999999999,6.3290731346208275
01-01-2025,02:31:00,32,Active,62.637,2.189,9.859,12.664,0.69,2.256,405.359,0.671,5.256,Low,80.436,29.666203161592506
01-01-2025,02:32:00,39,Active,68.192,1.913,7.451,48.832,0.037,9.226,290.362,0.067,0.527,Medium,50.798,5.826818108845722
01-01-2025,02:33:00,49,Maintenance,31.66,2.707,6.835,1.391,3.561,0.655,228.298,0.895,3.66,Medium,62.999,95.48222501045588
01-01-2025,02:34:00,32,Active,32.523,3.459,8.141,36.696,1.335,2.546,347.805,0.886,14.773,Low,49.954,9.226575764006792
01-01-2025,02:35:00,4,Maintenance,87.731,0.147,9.976,13.672,2.595,1.577,416.967,0.261,7.493,Low,60.378,28.41923391494002
01-01-2025,02:36:00,30,Active,39.447,0.792,5.144,19.208,0.429,7.492,371.985,0.482,5.022,Low,76.50200000000001,18.407808788598576
01-01-2025,02:37:00,37,Maintenance,39.684,2.53,8.523,41.203,0.01,5.369,320.684,0.845,12.317,Low,58.696999999999996,7.598606734118428
01-01-2025,02:38:00,23,Active,82.993,4.933,9.267,34.309,2.903,9.642,118.046,0.623,5.609,Low,36.661,3.343226939307259
01-01-2025,02:39:00,39,Maintenance,77.793,0.743,3.136,27.835,3.887,5.718,136.729,0.887,7.142,Low,33.295,4.741772151898735
01-01-2025,02:40:00,45,Active,69.289,2.561,9.491,35.687,0.088,3.34,333.907,0.832,6.502,Low,63.433,9.10150734592635
01-01-2025,02:41:00,15,Active,72.016,2.329,3.838,37.702,0.986,5.861,360.213,0.182,0.126,Medium,52.438,9.30734845744406
01-01-2025,02:42:00,43,Active,31.321,0.26,2.66,3.147,4.236,3.209,426.09,0.317,1.474,High,54.493,102.74656378104653
01-01-2025,02:43:00,29,Active,70.997,2.239,8.103,39.861,0.05,1.343,444.819,0.991,9.221,Low,59.639,10.88615060815937
01-01-2025,02:44:00,36,Active,43.699,0.746,6.235,29.284,2.947,1.048,499.62,0.789,4.476,Medium,41.245999999999995,16.497820631356493
01-01-2025,02:45:00,13,Maintenance,43.599,0.744,7.111,35.779,2.731,7.068,418.536,0.967,11.063,Low,36.910999999999994,11.379754751352673
01-01-2025,02:46:00,32,Active,56.081,3.902,8.503,18.489,4.109,0.246,324.569,0.917,7.637,Low,40.42100000000001,16.65395864333727
01-01-2025,02:47:00,7,Active,55.306,4.927,2.422,6.567,1.016,5.158,191.138,0.27,11.434,Low,83.273,25.259415884762785
01-01-2025,02:48:00,22,Idle,61.799,1.774,6.673,35.933,1.725,3.244,278.098,0.935,5.995,Low,46.817,7.529797200335744
01-01-2025,02:49:00,28,Active,73.709,0.904,7.24,39.539,2.924,2.111,137.375,0.384,12.199,Low,31.221000000000004,3.3887121043933
01-01-2025,02:50:00,2,Active,83.949,4.581,4.829,33.663,1.297,5.07,334.412,0.178,14.891,Low,53.367000000000004,9.647520410812682
01-01-2025,02:51:00,42,Idle,57.102,2.919,3.302,9.117,0.714,2.069,169.843,0.889,6.862,Low,83.743,16.78788178313729
01-01-2025,02:52:00,45,Idle,65.71,3.212,6.659,49.657,1.575,1.905,341.228,0.699,14.34,Low,34.593,6.736048325009377
01-01-2025,02:53:00,6,Active,59.662,4.733,9.627,49.304,3.236,5.694,232.541,0.815,3.967,Medium,18.336,4.622713899491094
01-01-2025,02:54:00,28,Active,30.148,2.339,7.68,41.615,1.023,3.692,238.744,0.111,0.249,Medium,48.155,5.602346591575736
01-01-2025,02:55:00,28,Idle,79.578,4.108,8.941,10.087,2.682,8.757,255.99,0.369,14.508,Low,63.093,23.0892035717507
01-01-2025,02:56:00,44,Idle,74.148,1.181,6.373,10.919,2.956,7.272,451.201,0.855,6.516,Low,59.521,37.85560869200436
01-01-2025,02:57:00,44,Active,87.573,1.643,7.313,11.905,4.991,0.097,276.669,0.339,4.402,Medium,38.185,21.438899651297945
01-01-2025,02:58:00,20,Idle,52.343,1.337,4.643,29.125,0.41,4.217,402.694,0.979,14.561,Low,66.775,13.367435684647303
01-01-2025,02:59:00,30,Active,79.208,3.215,2.206,12.899,3.072,4.862,279.704,0.376,2.453,Medium,56.381,20.124037700554
01-01-2025,03:00:00,11,Idle,73.66,1.413,7.186,19.774,2.864,3.714,440.809,0.353,14.35,Low,51.586,21.219264465196883
01-01-2025,03:01:00,28,Active,37.005,3.314,7.964,37.121,2.689,4.775,452.144,0.275,9.986,Low,35.98899999999999,11.860759161616956
01-01-2025,03:02:00,25,Idle,88.212,0.62,5.995,12.488,1.366,2.246,226.963,0.892,13.648,Low,73.852,16.82703143534994
01-01-2025,03:03:00,39,Maintenance,39.194,2.698,4.575,32.366,4.653,2.402,242.303,0.0,6.673,Low,21.104000000000013,7.261973266199125
01-01-2025,03:04:00,33,Idle,79.828,1.75,7.518,43.614,3.789,8.218,117.377,0.96,12.088,Low,18.49600000000001,2.630945443134442
01-01-2025,03:05:00,1,Maintenance,58.421,3.656,2.346,3.546,0.689,4.211,336.161,0.232,13.736,Low,89.56400000000001,73.94654641443027
01-01-2025,03:06:00,27,Active,66.039,1.151,4.925,23.384,4.84,9.966,416.075,0.168,0.783,High,28.216000000000008,17.063443241469816
01-01-2025,03:07:00,13,Active,60.95,4.849,3.365,17.892,3.13,4.917,73.329,0.35,4.59,Low,50.808,3.881484226127461
01-01-2025,03:08:00,41,Idle,34.024,2.71,9.725,38.836,0.007,6.503,140.362,0.501,1.956,Low,61.094,3.523496334973391
01-01-2025,03:09:00,3,Active,86.837,2.149,5.712,43.482,2.986,7.668,450.105,0.302,8.311,Low,26.658,10.118812103772314
01-01-2025,03:10:00,39,Active,82.396,0.251,2.73,7.065,2.14,9.336,463.835,0.31,7.707,Low,71.535,57.51208927464351
